country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Aruba,2023,ABW,107946,,0,0,0.867,0.036,4.321,,,,,,,8.033,,,,,,,,0,74.782,,,0,,,74.782,,,,0,0,,,,,,,,,0.006,0.06,0.867,8.033,,,,0,0.002,,,0,0.004,,,0,,,0.012,,0,,,0.007,,0.002,0,0,0,0,,,,
Australia,2023,AUS,26451125,,2.818,0.107,382.972,-1.39,-0.362,453.066,-1.084,-0.239,17.128,,0.271,14.478,,0.229,142.666,5.394,,,,199.912,19664.301,33841.18,10422.01,332.552,2304.913,14177.672,6281.736,123.176,63256.879,,17.14,0.648,74.636,2.822,16.708,21.965,70.094,2.65,113.681,4.298,52.859,1.998,141.596,5.353,0.156,4.115,1672.456,0.18,1.013,1.094,0.926,0.413,1.085,1.288,1.247,1.68,0.853,1.73,1,1.195,4.171,0.945,1.934,1.16,1.367,1.472,0.007,0.014,0.025,0.003,580.988,441.938,,
Austria,2023,AUT,9130434,,1.832,0.201,58.578,-2.911,-4.734,56.93,-2.667,-4.475,6.235,,0.148,6.416,,0.152,10.892,1.193,,,,143.45,5693.515,5870.665,2766.409,4.899,770.483,205.473,1969.17,39.105,42952.613,,0.08,0.009,13.832,1.515,7.09,7.442,-1.648,-0.18,9.845,1.078,3.639,0.399,30.733,3.366,0.133,1.21,384.811,0.117,0.155,0.137,0.071,0.297,0.314,0.223,0.331,0.025,0.285,0.025,0.313,0.38,0.02,0.175,-0.045,0.252,0.402,0.182,0,0.002,0.003,0,67.949,64.731,,
Azerbaijan,2023,AZE,10318210,,1.081,0.105,43.937,3.545,8.778,48.546,3.73,8.323,4.705,,0.213,4.258,,0.193,0,0,,,,33.993,2596.786,3202.357,24.264,15.948,1119.817,630.522,1402.763,,21881.906,,0.655,0.063,29.753,2.884,6.382,7.475,4.609,0.447,25.46,2.468,4.614,0.447,12.448,1.206,,,227.849,0.069,0.116,0.117,0,0.07,0.143,0.122,0.003,0.081,0.415,0.077,0.223,,0.159,0.377,0.127,0.102,,0.134,0.001,0.001,0.002,0,77.125,65.849,,
Bahamas,2023,BHS,399452,,0,0,2.505,0.104,4.317,2.482,0.105,4.421,6.214,,,6.272,,,0.004,0.01,,,,4.262,176.126,178.154,0.275,0,,6.904,171.589,,,,0,0,,,7.324,7.353,-0.023,-0.058,0.395,0.988,0.051,0.128,2.501,6.262,,,,0,0.007,0.006,0,0.009,0.01,0.007,0,0,,0.001,0.027,,0,,-0.001,0.02,,0.006,0,0,0,0,2.937,2.926,,
Bahrain,2023,BHR,1569674,,0.213,0.136,36.527,0.875,2.454,36.527,0.875,2.454,23.27,,,23.27,,,,,,,,5.386,1067.923,1067.931,,2.373,834.03,0.009,225.98,,,,0.179,0.114,33.001,21.024,42.656,42.683,0,0,30.203,19.242,0.268,0.171,3.134,1.996,,,,0.014,0.097,0.088,,0.011,0.059,0.041,,0.012,0.309,0,0.036,,0.044,0.418,0,0.026,,0.096,0.001,0,0.002,0,66.998,66.957,,
Bangladesh,2023,BGD,171466986,,1.514,0.009,113.427,-0.436,-0.383,131.913,-0.173,-0.131,0.769,,0.259,0.662,,0.223,23.905,0.139,,,,26.79,1922.09,3505.443,164.42,0.352,1138.023,3478.095,592.506,,2940.021,,0.031,0,56.181,0.328,0.952,1.537,18.486,0.108,111.982,0.653,30.513,0.178,31.796,0.185,,,508.489,0.096,0.3,0.319,0.155,0.055,0.106,0.133,0.02,0.002,0.421,0.424,0.094,,0.007,0.711,0.51,0.26,,0.412,0.004,0.002,0.007,0.001,263.614,163.293,,
Barbados,2023,BRB,282348,,0.106,0.375,1.192,0.048,4.236,1.16,0.057,5.156,4.107,,,4.221,,,,,,,,4.059,62.247,62.591,,0.242,1.801,3.749,56.09,,,,0.011,0.039,0.03,0.106,4.929,5.024,-0.032,-0.114,0.213,0.753,0.046,0.163,1.045,3.701,,,,0.007,0.003,0.003,,0.008,0.003,0.002,,0.001,0.001,0,0.009,,0.003,0,-0.001,0.009,,0.002,0,0,0,0,1.418,1.392,,
Belarus,2023,BLR,9115680,,2.239,0.246,56.491,-2.894,-4.873,54.068,-3.332,-5.805,5.931,,0.183,6.197,,0.191,4.394,0.482,,,,87.571,5126.28,10084.734,554.193,10.156,1408.565,5196.553,3010.128,55.667,31170.637,,0.006,0.001,32.359,3.55,8.77,11.742,-2.422,-0.266,17.381,1.907,29.233,3.207,16.542,1.815,0.104,0.951,296.066,0.143,0.149,0.131,0.029,0.181,0.283,0.384,0.066,0.051,0.522,0.634,0.479,0.54,0.002,0.41,-0.067,0.135,0.316,0.345,0.001,0.004,0.006,0.001,107.033,79.942,,
Belgium,2023,BEL,11712894,,2.456,0.21,83.368,-5.634,-6.33,86.018,-5.639,-6.152,7.344,,0.134,7.118,,0.13,10.159,0.867,,,,228.174,12817.945,13057.243,7557.025,3.549,1431.061,380.461,3519.244,78.892,54942.238,,0.111,0.009,29.335,2.504,8.17,9.12,2.649,0.226,12.791,1.092,8.812,0.752,39.715,3.391,0.136,1.593,642.063,0.157,0.221,0.208,0.066,0.472,0.707,0.497,0.905,0.018,0.53,0.046,0.56,0.766,0.027,0.371,0.073,0.325,0.529,0.407,0.001,0.006,0.007,0,106.821,95.697,,
