country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Chile,2023,CHL,19658834,,0.976,0.05,77.288,-5.249,-6.36,90.249,-8.648,-8.745,4.591,,0.179,3.931,,0.153,14.493,0.737,,,,59.315,3242.667,7724.604,1049.754,82.881,345.25,4482.278,1705.467,,25678.967,,0.006,0,12.423,0.632,5.035,5.493,12.961,0.659,24.5,1.246,7.898,0.402,49.39,2.512,,,504.068,0.062,0.205,0.218,0.094,0.123,0.179,0.294,0.126,0.419,0.128,0.547,0.271,,0.001,0.157,0.358,0.405,,0.247,0.001,0.003,0.004,0,107.988,98.992,,
China,2023,CHN,1422584937,,718.017,0.505,11902.503,551.965,4.863,11605.929,541.47,4.894,8.158,,0.245,8.367,,0.251,8550.844,6.011,,,,17050.791,272531.531,339872,204031.578,162.823,8716.913,72276.414,37326.809,5242.629,33266.828,,4.494,0.003,814.783,0.573,9.546,9.819,-296.574,-0.208,1886.24,1.326,410.853,0.289,1642.827,1.155,0.121,171.539,47427.562,45.753,31.495,28.022,55.521,35.253,15.037,12.936,24.421,0.823,3.228,8.82,5.941,50.88,1.094,10.314,-8.182,13.456,56.965,12.938,0.064,0.142,0.216,0.009,13968.915,13579.422,,
Christmas Island,2023,CXR,,,,,0,0,,,,,,,,,,,,,,,,,1.33,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,0,,,0,,,,,0,,,,,0,,0,0,,,,,
Colombia,2023,COL,52321152,,6.046,0.116,105.239,6.946,7.067,108.185,4.475,4.315,2.068,,0.173,2.011,,0.168,16.002,0.306,,,,202.201,3736.25,24495.699,792.669,71.644,710.305,20973.496,1959.431,,12028.095,,0.603,0.012,22.498,0.43,2.873,4.95,2.946,0.056,96.96,1.853,22.838,0.436,60.09,1.148,,,626.485,0.385,0.278,0.261,0.104,0.418,0.206,0.932,0.095,0.362,0.263,2.559,0.312,,0.147,0.285,0.081,0.492,,0.862,0.004,0.01,0.014,0.001,259.002,150.338,,
Comoros,2023,COM,850390,,0,0,0.449,-0.002,-0.485,0.471,0,0.042,0.554,,,0.528,,,,,,,,0,6.799,12.787,,0,,13.059,6.799,,,,0,0,,,1.003,1.361,0.022,0.026,0.63,0.741,0.072,0.084,0.449,0.528,,,,0,0.001,0.001,,0,0,0,,0,,0.002,0.001,,0,,0.001,0.004,,0.002,0,0,0,0,1.157,0.853,,
Congo,2023,COG,6182889,,0.31,0.05,7.674,-0.437,-5.386,22.937,-0.829,-3.488,3.71,,,1.241,,,,,,,,3.852,181.049,2072.658,,91.882,16.962,3433.768,68.316,,,,3.141,0.508,1.654,0.268,3.88,6.447,15.262,2.468,17.159,2.775,1.559,0.252,2.569,0.416,,,,0.02,0.02,0.055,,0.008,0.01,0.079,,0.464,0.006,0.419,0.011,,0.764,0.021,0.421,0.021,,0.122,0.001,0.001,0.002,0,39.861,23.99,,
Cook Islands,2023,COK,14243,,0,0,0.073,0.002,2.174,0.073,0.002,2.174,5.114,,,5.114,,,,,,,,0,2.625,2.625,,0,,0,2.625,,,,0,0,,,5.578,5.555,0,0,0.015,1.045,0.004,0.271,0.073,5.114,,,,0,0,0,,0,0,0,,0,,0,0,,0,,0,0.001,,0,0,0,0,0,0.079,0.079,,
Costa Rica,2023,CRI,5105527,,0.378,0.074,8.279,0.432,5.502,13.236,0.287,2.219,2.592,,,1.622,,,0.044,0.009,,,,21.366,277.659,2507.982,2.575,0,,2289.6,253.719,,,,0,0,,,2.284,3.818,4.956,0.971,5.368,1.051,1.623,0.318,7.857,1.539,,,,0.024,0.022,0.032,0,0.044,0.015,0.095,0,0,,0.279,0.04,,0,,0.137,0.064,,0.073,0,0.001,0.001,0,19.494,11.66,,
Cote d'Ivoire,2023,CIV,31165651,,0,0,13.196,-0.448,-3.285,160.957,6.805,4.415,5.165,,,0.423,,,,,,,,0,383.565,8859.612,,4.238,90.149,13663.411,288.522,,,,0.067,0.002,4.228,0.136,0.878,3.901,147.762,4.741,16.971,0.545,3.992,0.128,8.901,0.286,,,,0,0.035,0.389,,0,0.021,0.337,,0.021,0.033,1.667,0.046,,0.016,0.054,4.076,0.073,,0.29,0.001,0.004,0.005,0,121.569,27.358,,
Croatia,2023,HRV,3896024,,1.203,0.309,17.524,-0.084,-0.478,14.433,0.003,0.021,3.705,,0.143,4.498,,0.173,1.336,0.343,,,,82.024,1165.427,1826.484,149.215,19.507,217.263,962.555,691.204,6.215,25236.199,,0.284,0.073,4.744,1.218,5.317,5.441,-3.091,-0.793,3.461,0.888,2.347,0.602,9.77,2.508,0.048,0.186,101.162,0.077,0.046,0.035,0.009,0.17,0.064,0.07,0.018,0.099,0.08,0.117,0.11,0.06,0.069,0.06,-0.085,0.08,0.062,0.062,0,0.001,0.001,0,21.197,20.713,,
Cuba,2023,CUB,11019931,,0.368,0.033,23.097,1.215,5.553,27.773,2.507,9.921,2.52,,,2.096,,,0.015,0.001,,,,59.858,1787.437,5892.095,117.307,0.963,45.913,4129.612,1563.396,,,,0.113,0.01,1.926,0.175,2.809,3.801,4.676,0.424,13.795,1.252,3.441,0.312,20.675,1.876,,,,0.023,0.061,0.067,0,0.124,0.099,0.224,0.014,0.005,0.017,0.504,0.249,,0.027,0.024,0.129,0.169,,0.176,0.001,0.002,0.003,0,41.891,30.954,,
Curacao,2023,CUW,185437,,0,0,2.023,0.084,4.322,,,,,,,10.912,,,,,,,,0,531.225,,,0,,,530.434,,,,0,0,,,,,,,,,,,2.023,10.912,,,,0,0.005,,,0,0.029,,,0,,,0.084,,0,,,0.017,,0.014,,0,0,,,,,
Cyprus,2023,CYP,1344979,,0.88,0.654,7.174,-0.023,-0.324,6.808,0.066,0.974,5.061,,0.212,5.334,,0.224,0.112,0.083,,,,35.845,314.88,266.278,4.276,0,0.029,66.415,273.364,1.366,25469.945,,0,0,0,0,7.095,7.227,-0.367,-0.273,2.456,1.826,0.382,0.284,6.162,4.581,0.015,0.021,32.096,0.056,0.019,0.016,0.001,0.074,0.017,0.01,0.001,0,0,0.008,0.044,0.013,0,0,-0.01,0.05,0.007,0.012,0,0,0,0,9.72,9.543,,
Czechia,2023,CZE,10809722,,1.847,0.171,85.624,-9.484,-9.971,78.943,-9.384,-10.624,7.303,,0.186,7.921,,0.202,44.853,4.149,,,,153.734,12257.923,11907.708,9827.312,8.958,721.227,-240.379,1490.741,55.95,40339.277,,0.044,0.004,14.328,1.325,9.058,8.5,-6.682,-0.618,12.814,1.185,5.552,0.514,22.957,2.124,0.148,1.595,423.373,0.118,0.227,0.191,0.291,0.318,0.676,0.453,1.176,0.045,0.267,-0.029,0.237,0.543,0.011,0.181,-0.184,0.188,0.53,0.362,0.001,0.005,0.006,0,91.887,97.919,,
Democratic Republic of Congo,2023,COD,105789733,,0.604,0.006,4.616,-0.015,-0.316,428.619,8.338,1.984,4.052,,,0.044,,,0.071,0.001,,,,15.158,230.241,24102.129,46.637,20.715,0.251,25172.057,147.479,,,,0.213,0.002,0,0,0.497,5.243,424.004,4.008,59.361,0.561,17.488,0.165,3.728,0.035,,,,0.039,0.012,1.035,0,0.031,0.013,0.917,0.006,0.105,0,3.072,0.023,,0.052,0,11.697,0.031,,0.741,0.002,0.01,0.012,0,554.607,52.59,,
Denmark,2023,DNK,5948134,,1.073,0.18,27.265,-1.167,-4.104,28.404,-1.155,-3.906,4.775,,0.145,4.584,,0.139,2.766,0.465,,,,82.148,4168.465,5555.202,1853.093,18.937,285.074,1388.221,1913.182,16.032,33078.332,,0.095,0.016,3.602,0.606,5.461,7.602,1.139,0.192,10.829,1.821,5.281,0.888,19.319,3.248,0.069,0.41,195.523,0.068,0.072,0.069,0.018,0.17,0.23,0.211,0.222,0.096,0.106,0.169,0.304,0.156,0.023,0.046,0.031,0.158,0.136,0.18,0,0.002,0.003,0,45.218,32.485,,
Djibouti,2023,DJI,1152951,,0.139,0.121,0.493,-0.002,-0.348,0.577,-0.001,-0.189,0.501,,,0.427,,,,,,,,0.986,20.427,26.047,,0,,7.25,19.441,,,,0,0,,,1.131,1.814,0.085,0.074,1.282,1.112,0.271,0.235,0.353,0.306,,,,0.009,0.001,0.001,,0.002,0.001,0.001,,0,,0.001,0.003,,0,,0.002,0.003,,0.004,0,0,0,0,2.092,1.304,,
Dominica,2023,DMA,66531,,0,0,0.163,0.007,4.322,0.069,0.011,19.329,1.042,,,2.451,,,,,,,,0,5.313,3.55,,0,,2.675,5.313,,,,0,0,,,3.086,3.248,-0.094,-1.409,0.068,1.019,0.013,0.2,0.163,2.451,,,,0,0,0,,0,0,0,,0,,0,0.001,,0,,-0.003,0.001,,0,0,0,0,0,0.216,0.205,,
Dominican Republic,2023,DOM,11331268,,2.52,0.222,32.02,1.589,5.221,31.919,1.519,4.997,2.817,,,2.826,,,7.376,0.651,,,,58.981,842.596,2489.396,78.807,0,38.4,1677.979,666.409,,,,0,0,4.202,0.371,3.44,4.234,-0.101,-0.009,13.384,1.181,3.402,0.3,17.922,1.582,,,,0.161,0.085,0.077,0.048,0.122,0.046,0.095,0.009,0,0.014,0.205,0.106,,0,0.053,-0.003,0.147,,0.087,0.001,0.001,0.001,0,47.979,38.981,,
East Timor,2023,TLS,1384292,,0,0,0.632,-0.017,-2.647,4.392,-0.062,-1.402,3.173,,,0.457,,,,,,,,0,11.437,103.378,,3.47,0,374.128,7.966,,,,0.03,0.022,0,0,1.06,3.484,3.76,2.716,1.549,1.119,0.238,0.172,0.602,0.435,,,,0,0.002,0.011,,0,0.001,0.004,,0.018,0,0.046,0.001,,0.007,0,0.104,0.005,,0.013,0,0,0,0,4.822,1.467,,
Ecuador,2023,ECU,17980079,,2.129,0.118,43.173,2.651,6.542,56.736,2.739,5.073,3.156,,0.242,2.401,,0.184,,,,,,72.321,1340.633,5756.114,,85.181,35.842,4792.755,1146.727,,12880.897,,2.974,0.165,0.859,0.048,3.254,5.039,13.564,0.754,23.723,1.319,5.016,0.279,37.21,2.07,,,234.31,0.136,0.114,0.137,,0.15,0.074,0.219,,0.43,0.013,0.585,0.183,,0.724,0.011,0.374,0.305,,0.238,0.001,0.003,0.004,0,90.609,58.5,,
Egypt,2023,EGY,114535772,,20.194,0.176,269.006,-2.162,-0.797,272.062,-2.08,-0.759,2.375,,0.249,2.349,,0.246,8.585,0.075,,,,587.606,7290.29,7616.915,189.547,137.155,2371.496,370.146,4004.486,,9703.661,,3.519,0.031,118.821,1.037,3.016,3.209,3.056,0.027,74.669,0.652,21.381,0.187,117.887,1.029,,,1093.764,1.287,0.712,0.657,0.056,1.215,0.402,0.29,0.023,0.693,0.878,0.045,0.637,,0.856,1.504,0.084,0.966,,0.432,0.003,0.004,0.007,0,367.538,345.444,,
El Salvador,2023,SLV,6309628,,0.415,0.066,8.23,0.43,5.514,7.844,0.449,6.066,1.243,,,1.304,,,0.003,0,,,,19.327,256.548,833.376,0.212,0,0.027,643.149,236.982,,,,0,0,0.015,0.002,1.718,1.713,-0.386,-0.061,3.704,0.587,1.08,0.171,7.797,1.236,,,,0.026,0.022,0.019,0,0.04,0.014,0.032,0,0,0,0.078,0.038,,0,0,-0.011,0.064,,0.04,0,0,0.001,0,10.809,10.841,,
Equatorial Guinea,2023,GNQ,1847556,,0,0,6.141,-0.684,-10.028,7.721,-0.671,-7.997,4.179,,,3.324,,,,,,,,0,155.293,204.728,,46.107,79.871,87.866,29.315,,,,0.389,0.21,4.581,2.479,6.54,7.828,1.579,0.855,5.918,3.203,0.051,0.028,1.172,0.634,,,,0,0.016,0.019,,0,0.009,0.008,,0.233,0.03,0.011,0.005,,0.095,0.058,0.044,0.01,,0.034,0,0,0.001,0,14.464,12.082,,
Eritrea,2023,ERI,3470392,,0.07,0.02,0.621,-0.003,-0.43,7.3,0.031,0.423,2.103,,,0.179,,,,,,,,1.346,18.166,110.415,,0,,219.803,16.82,,,,0,0,,,0.743,2.715,6.679,1.925,5.133,1.479,1.638,0.472,0.551,0.159,,,,0.004,0.002,0.018,,0.003,0.001,0.004,,0,,0.027,0.003,,0,,0.184,0.005,,0.019,0,0,0,0,9.423,2.578,,
Estonia,2023,EST,1367194,,0,0,10.019,-1.738,-14.786,8.989,-1.667,-15.64,6.575,,0.162,7.328,,0.18,6.328,4.629,,,,22.163,1660.873,1788.9,1185.507,2.842,74.361,215.755,373.577,2.424,41967.047,,0,0,0.622,0.455,7.713,9.784,-1.03,-0.753,1.036,0.758,1.768,1.293,3,2.194,0.05,0.069,55.513,0,0.027,0.022,0.041,0.046,0.092,0.068,0.142,0.014,0.028,0.026,0.059,0.024,0,0.008,-0.028,0.025,0.023,0.065,0,0.001,0.001,0,13.377,10.545,,
Eswatini,2023,SWZ,1230508,,0,0,1.104,0.025,2.27,1.188,-0.009,-0.738,0.965,,,0.897,,,0.228,0.185,,,,0,44.159,187.255,21.216,0,,292.538,22.943,,,,0,0,,,,1.379,0.084,0.068,1.279,1.04,0.505,0.411,0.877,0.712,,,,0,0.003,0.003,0.001,0,0.002,0.007,0.003,0,,0.036,0.004,,0,,0.002,0.007,,0.008,0,0,0,0,1.697,,,
Ethiopia,2023,ETH,128691696,,3.681,0.029,15.227,0.07,0.463,242.202,-4.968,-2.01,1.882,,,0.118,,,1.162,0.009,,,,48.329,306.169,6842.631,13.845,0.011,,10121.311,243.984,,,,0,0,,,0.483,1.953,226.975,1.764,128.862,1.001,54.035,0.42,10.383,0.081,,,,0.235,0.04,0.585,0.008,0.1,0.017,0.26,0.002,0,,1.235,0.039,,0,,6.262,0.085,,0.518,0.004,0.003,0.009,0.001,251.393,62.167,,
Faroe Islands,2023,FRO,54738,,,,0.798,0.008,0.965,,,,,,,14.572,,,,,,,,,33.083,,,0,,,32.846,,,,0,0,,,,,,,,,,,0.798,14.572,,,,,0.002,,,,0.002,,,0,,,0.005,,0,,,0.007,,0.001,,0,0,,,,,
Fiji,2023,FJI,924150,,0,0,1.146,0.024,2.174,1.398,0.036,2.639,1.512,,,1.24,,,,,,,,1.267,50.938,96.668,,0,,81.337,47.781,,,,0,0,,,1.829,2.543,0.252,0.272,0.787,0.851,0.176,0.19,1.146,1.24,,,,0,0.003,0.003,,0.003,0.003,0.004,,0,,0.01,0.008,,0,,0.007,0.009,,0.007,0,0,0,0,2.35,1.69,,
Finland,2023,FIN,5601185,,0.597,0.107,31.622,-4.745,-13.048,57.719,-4.066,-6.581,10.305,,0.174,5.646,,0.095,8.834,1.577,,,,49.812,3294.771,6617.215,1279.556,2.809,246.707,3504.421,1686.588,29.299,59896.703,,0.065,0.012,2.851,0.509,7.621,14.141,26.097,4.659,10.611,1.894,7.06,1.26,18.704,3.339,0.102,0.572,332.156,0.038,0.084,0.139,0.057,0.103,0.182,0.252,0.153,0.014,0.091,0.428,0.268,0.284,0.016,0.036,0.72,0.153,0.19,0.232,0.001,0.003,0.004,0,79.206,42.688,,
France,2023,FRA,66438828,,6.397,0.096,272.476,-21.026,-7.164,246.976,-21.768,-8.1,3.717,,0.103,4.101,,0.113,19.636,0.296,,,,719.755,39685.164,34894.152,19154.641,174.974,3809.149,-4470.206,15677.646,148.999,37164.297,,1.569,0.024,66.651,1.003,4.62,5.031,-25.5,-0.384,67.723,1.019,33.85,0.509,174.553,2.627,0.055,3.671,2406.633,0.408,0.721,0.596,0.127,1.488,2.19,1.328,2.293,0.884,1.41,-0.545,2.495,1.446,0.382,0.844,-0.703,1.43,1.219,1.295,0.003,0.017,0.022,0.002,334.278,306.971,,
French Polynesia,2023,PYF,281124,,0,0,0.916,0.019,2.174,,,,,,,3.259,,,,,,,,0,33.166,,,0,,,33.166,,,,0,0,,,,,,,,,,,0.916,3.259,,,,0,0.002,,,0,0.002,,,0,,,0.005,,0,,,0.008,,0.001,,0,0,,,,,
Gabon,2023,GAB,2484790,,0.198,0.08,5.411,-0.424,-7.262,12.726,-0.234,-1.803,5.122,,,2.178,,,,,,,,4.419,305.881,1113.126,,169.8,21.891,1191.411,109.763,,,,2.231,0.898,0.685,0.276,6.989,9.957,7.315,2.944,11.807,4.752,0.565,0.227,2.297,0.924,,,,0.013,0.014,0.031,,0.009,0.017,0.042,,0.858,0.008,0.145,0.017,,0.543,0.009,0.202,0.019,,0.072,0.001,0.001,0.001,0,24.741,17.367,,
Gambia,2023,GMB,2697848,,0,0,0.711,-0.027,-3.605,0.681,-0.063,-8.509,0.252,,,0.264,,,,,,,,0,16.72,74.836,,0,,155.987,16.72,,,,0,0,,,0.551,1.349,-0.03,-0.011,1.748,0.648,0.372,0.138,0.711,0.264,,,,0,0.002,0.002,,0,0.001,0.003,,0,,0.019,0.003,,0,,-0.001,0.006,,0.007,0,0,0,0,3.641,1.486,,
Georgia,2023,GEO,3807494,,1.024,0.269,11.769,0.242,2.098,4.081,0.508,14.204,1.072,,,3.091,,,0.792,0.208,,,,21.858,694.835,268.305,84.564,2.764,263.907,-372.55,321.743,,,,0,0,6.186,1.625,3.862,3.133,-7.688,-2.019,3.169,0.832,1.701,0.447,3.767,0.989,,,,0.065,0.031,0.01,0.005,0.045,0.038,0.01,0.01,0.014,0.098,-0.045,0.051,,0,0.078,-0.212,0.031,,0.032,0,0,0.001,0,11.928,14.704,,
Germany,2023,DEU,84548234,,10.604,0.125,596.151,-75.32,-11.217,587.501,-75.332,-11.365,6.949,,0.185,7.051,,0.188,188.477,2.229,,,,1230.155,94582.289,94188.969,65082.012,97.319,7514.251,-153.803,20346.225,312.327,38052.27,,1.819,0.022,155.461,1.839,7.539,7.932,-8.65,-0.102,61.377,0.726,33.367,0.395,231.622,2.74,0.097,8.168,3169.55,0.676,1.577,1.419,1.224,2.543,5.219,3.585,7.79,0.492,2.782,-0.019,3.238,3.031,0.443,1.968,-0.239,1.897,2.712,2.881,0.004,0.042,0.048,0.002,670.626,637.367,,
Ghana,2023,GHA,33787915,,0.037,0.001,19.647,-0.64,-3.154,31.537,-1.873,-5.606,0.933,,,0.581,,,,,,,,0.343,404.572,2615.716,,6.161,43.963,3074.294,349.941,,,,0.956,0.028,6.099,0.18,1.165,1.555,11.89,0.352,24.539,0.726,6.243,0.185,12.556,0.372,,,,0.002,0.052,0.076,,0.001,0.022,0.1,,0.031,0.016,0.375,0.056,,0.233,0.077,0.328,0.103,,0.11,0.001,0.001,0.002,0,52.54,39.355,,
Greece,2023,GRC,10242909,,3.591,0.351,55.196,-2.883,-4.964,41.588,-2.674,-6.04,4.06,,0.136,5.389,,0.181,6.389,0.624,,,,289.28,4247.077,5344.473,1651.379,0.42,188.656,1497.14,2091.005,26.337,29510.961,,0.002,0,9.34,0.912,6.003,6.127,-13.608,-1.329,8.907,0.87,4.264,0.416,35.36,3.452,0.05,0.514,305.181,0.229,0.146,0.1,0.041,0.598,0.234,0.203,0.198,0.002,0.07,0.183,0.333,0.256,0.001,0.118,-0.375,0.29,0.171,0.176,0.001,0.002,0.003,0,62.76,61.486,,
Greenland,2023,GRL,55951,,0,0,0.596,0.009,1.493,,,,,,,10.659,,,,,,,,0,34.836,,,0,,,32.661,,,,0,0,,,,,,,,,,,0.596,10.659,,,,0,0.002,,,0,0.002,,,0,,,0.005,,0,,,0.005,,0.001,,0,0,,,,,
Grenada,2023,GRD,117093,,0,0,0.339,0.018,5.733,0.251,0.023,10.058,2.148,,,2.898,,,,,,,,0,9.238,5.837,,0,,-1.611,9.238,,,,0,0,,,3.356,3.277,-0.088,-0.751,0.06,0.514,0.01,0.086,0.339,2.898,,,,0,0.001,0.001,,0,0.001,0,,0,,0,0.001,,0,,-0.002,0.003,,0,0,0,0,0,0.384,0.393,,
Guatemala,2023,GTM,18124842,,1.31,0.072,20.382,1.269,6.637,47.084,1.073,2.331,2.598,,,1.125,,,2.972,0.164,,,,38.161,500.589,4378.964,54.737,1.036,,4051.557,406.216,,,,0.11,0.006,,,1.892,3.538,26.702,1.473,20.165,1.113,5.035,0.278,15.99,0.882,,,,0.083,0.054,0.114,0.019,0.079,0.028,0.167,0.007,0.005,,0.494,0.065,,0.027,,0.737,0.131,,0.166,0.001,0.002,0.003,0,64.123,34.299,,
Guinea,2023,GIN,14405469,,0,0,4.043,-0.151,-3.605,21.404,2.444,12.89,1.486,,,0.281,,,,,,,,0,100.75,1571.466,,0,,4590.485,100.533,,,,0,0,,,0.742,3.548,17.361,1.205,21.744,1.509,7.199,0.5,4.043,0.281,,,,0,0.011,0.052,,0,0.006,0.06,,0,,0.56,0.016,,0,,0.479,0.033,,0.139,0.001,0.001,0.002,0,51.107,10.691,,
Guinea-Bissau,2023,GNB,2153344,,0,0,0.298,-0.011,-3.605,0.741,-0.005,-0.717,0.344,,,0.138,,,,,,,,0,11.046,181.033,,0,,267.915,11.046,,,,0,0,,,0.688,2.269,0.443,0.206,2.292,1.064,0.796,0.37,0.298,0.138,,,,0,0.001,0.002,,0,0.001,0.007,,0,,0.033,0.002,,0,,0.012,0.002,,0.012,0,0,0,0,4.886,1.48,,
Guyana,2023,GUY,826360,,0.158,0.191,3.545,-0.082,-2.264,6.844,-0.065,-0.945,8.282,,,4.29,,,0.003,0.004,,,,1.31,112.82,605.137,0.134,1.293,0.028,866.477,110.055,,,,0.211,0.255,0.009,0.011,5.089,13.794,3.299,3.992,1.886,2.283,0.576,0.697,3.165,3.83,,,,0.01,0.009,0.017,0,0.003,0.006,0.023,0,0.007,0,0.106,0.018,,0.051,0,0.091,0.026,,0.033,0,0,0.001,0,11.399,4.205,,
Haiti,2023,HTI,11637402,,0.116,0.01,3.522,0.141,4.173,-2.02,-0.727,56.173,-0.174,,,0.303,,,,,,,,4.795,87.122,814.837,,0,,772.226,81.09,,,,0,0,,,0.928,1.19,-5.542,-0.476,10.191,0.876,1.675,0.144,3.406,0.293,,,,0.007,0.009,-0.005,,0.01,0.005,0.031,,0,,0.094,0.013,,0,,-0.153,0.028,,0.045,0,0,0.001,0,13.846,10.801,,
Honduras,2023,HND,10644855,,0.702,0.066,11.042,0.561,5.349,25.732,1.014,4.102,2.417,,,1.037,,,,,,,,22.36,292.967,3514.323,,0,,3351.087,264.744,,,,0,0,,,1.563,3.226,14.69,1.38,10.149,0.953,2.748,0.258,10.341,0.971,,,,0.045,0.029,0.062,,0.046,0.016,0.134,,0,,0.409,0.042,,0,,0.405,0.085,,0.107,0,0.001,0.002,0,34.338,16.64,,
Hong Kong,2023,HKG,7442738,,0.572,0.077,33.871,2.339,7.419,,,,,,,4.551,,0.135,13.291,1.786,,,,33.993,1721.502,,819.066,0,155.908,,712.535,,33497.102,,0,0,9.898,1.33,5.416,5.422,,,5.995,0.805,0.49,0.066,10.11,1.358,,,250.947,0.036,0.09,,0.086,0.07,0.095,,0.098,0,0.058,,0.113,,0,0.125,,0.083,,0.062,0,0.001,0.001,0,40.356,40.31,,
Hungary,2023,HUN,9686463,,0.815,0.084,40.19,-4.652,-10.375,28.27,-5.462,-16.193,2.918,,0.112,4.149,,0.159,3.782,0.39,,,,92.362,5154.81,5741.565,2626.889,15.961,1073.064,604.684,1315.519,31.014,24904.189,,0.138,0.014,16.869,1.741,5.116,5.09,-11.92,-1.231,9.798,1.012,7.733,0.798,18.144,1.873,0.046,0.442,252.933,0.052,0.106,0.068,0.025,0.191,0.284,0.219,0.314,0.081,0.397,0.074,0.209,0.301,0.034,0.214,-0.329,0.149,0.147,0.185,0,0.002,0.003,0,49.306,49.553,,
Iceland,2023,ISL,387559,,0,0,3.762,0.149,4.129,4.113,0.16,4.061,10.612,,0.065,9.708,,0.06,0.517,1.334,,,,2.751,168.185,271.222,24.287,4.62,0.013,206.65,136.306,0.208,167421.547,,0.176,0.454,0.001,0.004,10.514,12.922,0.35,0.904,0.564,1.456,0.355,0.917,3.06,7.895,0.022,0.009,62.837,0,0.01,0.01,0.003,0.006,0.009,0.01,0.003,0.023,0,0.025,0.022,0.002,0.043,0,0.01,0.025,0.003,0.011,0,0,0,0,5.008,4.075,,
India,2023,IND,1438069597,,177.226,0.123,3062.324,231.158,8.165,3037.99,214.98,7.615,2.113,,0.28,2.129,,0.283,2032.012,1.413,,,,2965.908,62870.027,102163.703,40603.965,175.257,2900.087,41986.789,16224.814,,7586.2,,2.868,0.002,132.42,0.092,2.431,2.918,-24.334,-0.017,940.655,0.654,288.717,0.201,717.799,0.499,,,10837.855,11.293,8.103,7.335,13.194,6.132,3.469,3.889,4.86,0.885,1.074,5.124,2.582,,0.698,1.676,-0.671,5.879,,4.771,0.035,0.038,0.08,0.007,4196.449,3495.332,,
Indonesia,2023,IDN,281190068,,26.004,0.092,733.224,-3.849,-0.522,1288.977,95.118,7.967,4.584,,0.459,2.608,,0.261,399.051,1.419,,,,736.294,16462.35,86158.43,4843.472,426.503,2706.018,78716.305,7750.063,,10116.714,,3.58,0.013,88.657,0.315,3.809,6.835,555.753,1.976,420.777,1.496,74.679,0.266,215.932,0.768,,,2807.733,1.657,1.94,3.112,2.591,1.522,0.908,3.279,0.58,2.154,1.002,9.606,1.233,,0.871,1.122,15.332,1.769,,3.44,0.015,0.041,0.057,0.001,1921.864,1071.142,,
Iran,2023,IRN,90608708,,38.928,0.43,817.88,17.133,2.14,838.975,19.811,2.418,9.259,,0.238,9.027,,0.232,5.444,0.06,,,,821.455,21123.711,22743.949,229.332,1698.715,8526.85,2413.376,9847.361,,39598.59,,38.392,0.424,509.267,5.621,11.199,11.756,21.095,0.233,203.894,2.25,30.502,0.337,225.85,2.493,,,3531.116,2.48,2.164,2.026,0.035,1.698,1.166,0.866,0.027,8.581,3.157,0.294,1.567,,9.342,6.446,0.582,1.85,,1.16,0.009,0.01,0.019,0.001,1065.222,1014.768,,
Iraq,2023,IRQ,45074055,,10.129,0.225,176.458,5.179,3.024,178.767,5.39,3.109,3.966,,0.256,3.915,,0.253,0.006,0,,,,174.366,4957.208,5452.102,0.203,912.088,528.343,652.163,3342.208,,15332.978,,33.256,0.738,41.157,0.913,7.285,7.505,2.309,0.051,153.052,3.396,7.39,0.164,91.91,2.039,,,697.72,0.645,0.467,0.432,0,0.361,0.274,0.208,0,4.607,0.196,0.08,0.532,,8.093,0.521,0.064,0.753,,0.469,0.005,0.002,0.008,0,338.302,328.347,,
